Pos x,Pos y,Pos z,Rot x,Rot y,Rot z
18.482098,35.537052,544.420837,0.301432,-0.021790,-0.141657
17.779917,35.512249,544.508301,0.298306,-0.017001,-0.135025
17.145563,35.383675,544.216187,0.292901,-0.014961,-0.134346
16.546932,35.333828,544.217224,0.285085,-0.011935,-0.132464
16.016079,35.257793,544.141296,0.276891,-0.009308,-0.131102
15.548648,35.144642,544.099487,0.277869,-0.008156,-0.128775
15.122283,35.086380,544.162720,0.274005,-0.005616,-0.126008
14.734286,34.987156,544.147156,0.273654,-0.003925,-0.124606
14.404676,34.863548,543.961548,0.272271,-0.002618,-0.123362
14.082285,34.813164,543.968506,0.270752,-0.000555,-0.121915
13.804767,34.696911,543.575500,0.262841,-0.000098,-0.122166
13.555481,34.663548,543.442871,0.257085,0.000719,-0.120539
13.320750,34.613953,543.182007,0.251650,0.001289,-0.119299
13.116051,34.498550,542.602356,0.243811,0.001851,-0.120010
12.953011,34.531364,542.918396,0.249453,0.001579,-0.119197
12.807040,34.424187,542.418335,0.247132,0.001773,-0.119196
12.690546,34.479393,542.570129,0.243761,0.004614,-0.116196
12.610488,34.462330,542.718445,0.242595,0.008701,-0.111769
12.561539,34.437244,543.013977,0.243738,0.010066,-0.109066
12.561587,34.375668,542.962280,0.246113,0.011187,-0.106332
12.602261,34.296471,542.725464,0.247830,0.011128,-0.104210
12.675618,34.242718,542.464844,0.252048,0.010080,-0.104162
12.786515,34.285606,542.287842,0.246540,0.009736,-0.106087
12.868597,34.287556,541.984192,0.240630,0.009546,-0.106896
12.933987,34.397518,542.408020,0.247376,0.008061,-0.106595
12.964493,34.282207,541.935669,0.248948,0.007053,-0.104707
12.994958,34.214520,541.705444,0.257385,0.004230,-0.104739
12.994354,34.154430,541.619141,0.266588,0.001935,-0.104131
12.991144,34.131012,541.673279,0.271063,-0.000352,-0.104095
12.991837,34.162579,541.976868,0.279226,-0.002591,-0.103867
12.940008,34.088024,541.498840,0.270010,-0.001226,-0.104114
12.966102,34.044403,541.438477,0.270344,-0.001587,-0.102227
13.011456,34.007683,541.434387,0.271057,-0.002175,-0.101512
13.009680,34.045269,541.721924,0.270187,-0.002339,-0.098930
12.974012,33.993591,541.552612,0.264332,-0.001648,-0.100976
12.948275,34.052532,541.927734,0.264000,-0.001664,-0.099340
12.861877,34.024113,541.976562,0.262084,-0.002422,-0.099449
12.763008,34.036320,542.223999,0.262531,-0.003917,-0.099950
12.614158,34.009140,542.285400,0.258175,-0.005724,-0.102880
12.436623,33.979179,542.229858,0.254942,-0.006676,-0.103836
12.256404,33.973831,542.241150,0.254515,-0.007483,-0.103833
12.072279,33.984127,542.234924,0.254576,-0.007505,-0.103680
11.898518,33.936722,542.335449,0.266120,-0.008020,-0.103318
11.694803,33.927681,542.587952,0.279578,-0.008225,-0.101609
11.496608,33.869034,542.483459,0.279987,-0.007246,-0.099497
11.294273,33.890354,542.748474,0.288450,-0.006636,-0.098243
11.097695,33.910305,542.823547,0.287343,-0.006382,-0.097423
10.906993,33.886295,542.785583,0.287124,-0.006244,-0.096979
10.708831,33.907192,543.033936,0.290021,-0.005519,-0.094204
10.483433,33.913319,543.194702,0.288129,-0.000669,-0.090015
10.248563,33.934250,543.638489,0.284474,0.004682,-0.085498
9.991743,33.949356,544.104187,0.284138,0.008291,-0.080867
9.717710,33.931812,544.343140,0.286436,0.009602,-0.075218
9.456301,33.874649,544.367004,0.288982,0.010187,-0.074682
9.167950,33.837914,544.446533,0.295370,0.012453,-0.069580
8.869624,33.812431,544.396179,0.294163,0.011902,-0.070357
8.539536,33.813553,544.317688,0.293193,0.013933,-0.067351
8.177258,33.822018,544.347534,0.292556,0.014973,-0.065478
7.767002,33.870609,544.516052,0.293723,0.014810,-0.064320
7.321890,33.851265,544.433167,0.293986,0.017106,-0.059525
6.821280,33.917149,544.353882,0.289230,0.016434,-0.059223
6.217056,33.980019,544.526672,0.291948,0.018924,-0.054591
5.514758,34.038734,544.364807,0.291551,0.024331,-0.047462
4.736119,34.055733,544.159424,0.294778,0.026811,-0.038818
3.726954,34.086205,543.975159,0.296663,0.035972,-0.026005
2.595623,34.050838,543.399353,0.292776,0.038402,-0.017327
1.261090,34.142239,543.195007,0.285918,0.047370,-0.003942
-0.244775,34.168274,542.718750,0.285276,0.050198,0.005620
-1.888147,34.271492,542.629639,0.282848,0.058023,0.017371
-3.633828,34.195587,542.100037,0.281122,0.061232,0.030238
