x,y
0.027196,0.677686
0.042472,0.665881
0.053965,0.657132
0.062184,0.650874
0.068755,0.646329
0.073649,0.642030
0.077164,0.638928
0.079412,0.636441
0.081196,0.635049
0.082491,0.634706
0.083230,0.634739
0.083392,0.634631
0.083566,0.635281
0.084264,0.636362
0.097879,0.642047
0.127171,0.653213
0.155129,0.663484
0.175809,0.671277
0.192067,0.677928
0.201850,0.680551
0.208352,0.682039
0.212469,0.684097
0.215024,0.684017
0.217419,0.684616
0.219034,0.684734
0.219555,0.684698
0.219919,0.683421
0.219997,0.681517
0.219652,0.680193
0.219165,0.678819
0.218715,0.677457
0.218181,0.676408
0.217766,0.675218
0.217683,0.674066
0.217382,0.672560
0.217056,0.670556
0.216908,0.669031
0.216519,0.667349
0.216040,0.666315
0.215456,0.665366
0.215219,0.664820
0.217331,0.664312
0.223186,0.663357
0.230924,0.661379
0.239006,0.658593
0.246386,0.656612
0.252417,0.655665
0.256642,0.654017
0.260271,0.653793
0.263070,0.652909
0.266021,0.652497
0.271647,0.651628
0.286154,0.648034
0.302442,0.642051
0.316168,0.637261
0.326008,0.635327
0.332956,0.634229
0.338385,0.632608
0.355146,0.630322
0.377362,0.627795
0.393464,0.625285
0.404849,0.624376
0.413392,0.623663
0.418163,0.626806
0.421530,0.625929
0.423560,0.625980
0.425599,0.625738
0.427320,0.626736
0.428085,0.627865
0.428645,0.628057
0.429095,0.628021
0.429656,0.628626
0.430390,0.629030
0.441052,0.628956
0.460794,0.626231
0.479865,0.623639
0.494307,0.620383
0.505242,0.619384
0.514522,0.620735
0.520256,0.622401
0.524592,0.620448
0.527457,0.621065
0.529872,0.621732
0.540781,0.622031
0.556403,0.621366
0.569285,0.620345
0.577599,0.618541
0.584562,0.617055
0.588471,0.618447
0.592252,0.618659
0.595262,0.618587
0.597234,0.617975
0.598850,0.616410
0.607394,0.616541
0.650383,0.616154
0.718947,0.612124
0.770668,0.608843
0.802171,0.606283
0.819387,0.603439
0.829527,0.605021
0.836946,0.605557
0.842852,0.604264
0.847578,0.605879
0.850130,0.606064
0.853019,0.606031
0.873090,0.605903
0.901813,0.603900
0.924746,0.601942
0.940649,0.601983
0.951122,0.601500
0.957226,0.602233
0.961127,0.601974
0.963639,0.601095
0.966597,0.600446
0.968563,0.600065
0.969431,0.599686
0.970350,0.599782
0.970891,0.599933
0.971214,0.600046
0.971342,0.600103
0.971586,0.600112
0.971600,0.599830
0.971597,0.599704
0.971210,0.601988
0.970019,0.608404
0.967815,0.618315
0.965615,0.628164
0.963311,0.637309
0.961962,0.644998
0.960254,0.650989
0.959296,0.655318
0.847815,0.656435
0.853599,0.626476
0.825814,0.625919
0.798872,0.631655
0.777333,0.638164
0.762413,0.641639
0.752526,0.642555
0.745009,0.643382
0.740168,0.644812
0.736357,0.645912
0.728790,0.647344
0.703822,0.650525
0.679523,0.652173
0.662409,0.653220
0.649624,0.653845
0.640741,0.654277
0.634286,0.655386
0.630479,0.655804
0.627918,0.656976
0.626555,0.658142
0.636445,0.661555
0.681401,0.667135
0.789201,0.674939
0.876640,0.680971
0.925665,0.683173
0.950843,0.685224
0.965522,0.687652
0.972922,0.688120
0.977664,0.688038
0.980072,0.687465
0.980814,0.687438
0.982655,0.687147
0.982778,0.686528
0.982772,0.685584
0.977728,0.689434
0.971661,0.695401
0.964888,0.702268
0.957102,0.709191
0.949552,0.715260
0.943265,0.720212
0.938564,0.724387
0.909114,0.718330
0.852505,0.700731
0.802456,0.682220
0.768352,0.673521
0.749154,0.666537
0.738140,0.661200
0.731237,0.658994
0.725374,0.657116
0.721548,0.656312
0.718710,0.656263
0.705062,0.657199
0.686621,0.655068
0.672195,0.653091
0.661696,0.652277
0.654202,0.651646
0.619357,0.692587
0.588045,0.669982
0.575835,0.681176
0.577196,0.674007
0.576293,0.670878
0.576943,0.669493
0.575983,0.669782
0.574605,0.670363
0.573427,0.670275
0.572664,0.670281
0.572094,0.670134
0.571610,0.670330
0.571106,0.670151
0.570483,0.670085
0.570003,0.670011
0.569542,0.670068
0.564223,0.671151
0.554682,0.674047
0.544266,0.675940
0.535327,0.677314
0.527882,0.679157
0.522510,0.680953
0.518395,0.683516
0.514469,0.684813
0.511072,0.684216
0.508150,0.684050
0.498501,0.688283
0.510769,0.677785
0.494743,0.677188
0.468127,0.681495
0.444588,0.689777
0.422675,0.692677
0.407606,0.694771
0.398555,0.699421
0.393418,0.699447
0.388554,0.693862
0.385637,0.690732
0.382694,0.687624
0.380587,0.685233
0.379900,0.685133
0.380041,0.687156
0.380671,0.688758
0.379997,0.688954
0.277050,0.746213
0.251718,0.733929
0.237243,0.719953
0.275715,0.689070
0.262279,0.689234
0.251237,0.691077
0.242414,0.689781
0.234724,0.689401
0.211229,0.691956
0.175399,0.698427
0.148021,0.704107
0.129369,0.707489
0.116601,0.708637
0.109075,0.709569
0.103562,0.708994
0.099973,0.709747
0.097388,0.709044
0.091171,0.708609
0.080407,0.706572
0.071368,0.704939
0.065146,0.703897
0.060179,0.703182
0.055745,0.702100
0.021110,0.695883
0.023280,0.697552
0.050659,0.691773
0.050808,0.690194
0.051375,0.689359
0.052123,0.687821
0.052888,0.686753
0.053714,0.685321
0.054411,0.684078
0.054866,0.682772
0.055322,0.681384
0.055612,0.680142
0.053049,0.678465
0.048906,0.676272
0.045045,0.673935
0.041597,0.671850
0.038181,0.670079
0.035231,0.668290
0.033322,0.667169
0.031909,0.667045
-0.001696,0.657230
-0.003154,0.654053
0.022151,0.647133
0.020404,0.645527
0.019450,0.644239
0.018373,0.642327
0.017267,0.640694
0.016970,0.640299
0.016600,0.639639
0.016229,0.638797
0.016148,0.638251
0.016166,0.637941
0.016566,0.638603
0.024153,0.642501
0.046768,0.653092
0.071259,0.664003
0.092499,0.673568
0.107588,0.680628
0.117541,0.683365
0.124095,0.684748
0.128095,0.685217
0.134822,0.686265
0.174639,0.680183
0.226676,0.672528
