x,y
0.712016,0.220037
0.708208,0.219845
0.705413,0.219634
0.703651,0.220144
0.700784,0.229332
0.668395,0.235815
0.679725,0.227374
0.671936,0.202627
0.666136,0.186836
0.662477,0.176431
0.659568,0.169281
0.657042,0.164533
0.655734,0.161044
0.654516,0.157900
0.653585,0.155519
0.643733,0.156730
0.622403,0.160028
0.599726,0.164350
0.581412,0.167944
0.568213,0.170338
0.559006,0.172428
0.546476,0.176940
0.508046,0.195285
0.473411,0.211167
0.449838,0.222285
0.434524,0.228328
0.425614,0.232008
0.419651,0.233879
0.415948,0.235576
0.414579,0.236059
0.386165,0.299928
0.256152,0.318703
0.239378,0.290791
0.294160,0.254244
0.278972,0.250311
0.265597,0.249223
0.255968,0.247282
0.241766,0.245897
0.189231,0.241266
0.132654,0.234843
0.097393,0.230507
0.076733,0.230367
0.064119,0.229632
0.057478,0.229961
0.053095,0.230038
0.050337,0.229934
0.048421,0.230108
0.047351,0.229939
0.047014,0.230276
0.046885,0.230351
0.046768,0.230427
0.043563,0.226428
0.039235,0.219420
0.034987,0.213339
0.030799,0.207947
0.002116,0.207075
-0.033692,0.241215
-0.026933,0.231628
0.021943,0.180237
0.028154,0.165019
0.034525,0.154177
0.039511,0.146235
0.043171,0.140802
0.046087,0.136904
0.048335,0.133275
0.048723,0.131296
0.044441,0.130174
0.040505,0.129206
0.037057,0.127891
0.034169,0.127011
0.031561,0.125732
0.029444,0.124432
0.027160,0.123524
0.025148,0.122364
0.024499,0.141399
0.055526,0.134206
0.087075,0.121184
0.110640,0.120339
0.131708,0.118687
0.148461,0.117107
0.160008,0.115617
0.167842,0.114200
0.173234,0.113505
0.177357,0.113447
0.179760,0.113944
0.181201,0.114624
0.182372,0.114739
0.183899,0.114341
0.203938,0.116930
0.231539,0.120304
0.254152,0.123387
0.271373,0.126490
0.283442,0.128312
0.290868,0.129038
0.266127,0.186785
0.285960,0.143100
0.311453,0.139742
0.316276,0.136254
0.320922,0.133846
0.324470,0.130828
0.327570,0.128155
0.329843,0.126838
0.331488,0.125936
0.332855,0.124626
0.333773,0.123982
0.335267,0.124971
0.336029,0.125523
0.347383,0.125731
0.381830,0.125462
0.420813,0.126957
0.450841,0.127736
0.471637,0.126518
0.485238,0.126439
0.494835,0.126959
0.500182,0.128197
0.503656,0.128975
0.506006,0.128041
0.508237,0.127145
0.508561,0.126187
0.508677,0.125279
0.509091,0.125147
0.509429,0.125462
0.507374,0.137170
0.529359,0.135213
0.538264,0.134593
0.547196,0.133732
0.555318,0.131852
0.562060,0.131155
0.567223,0.130434
0.571012,0.130142
0.573877,0.129877
0.576567,0.129756
0.594494,0.131460
0.630239,0.133043
0.663701,0.134794
0.687362,0.135562
0.702511,0.135913
0.712036,0.136951
0.718810,0.138908
0.723061,0.139917
0.725776,0.139382
0.728041,0.138745
0.752213,0.149374
0.798869,0.172653
0.839694,0.194724
0.864713,0.208891
0.880195,0.218112
0.889375,0.223746
0.895349,0.226868
0.899258,0.228329
0.902432,0.229878
0.902751,0.230344
0.895903,0.217356
0.887472,0.201680
0.876771,0.179822
0.866148,0.157974
0.857503,0.139010
0.851235,0.124186
0.847252,0.113065
0.844594,0.104396
0.842121,0.098123
0.804082,0.155246
0.839733,0.119906
0.846265,0.110390
0.853981,0.099712
0.860785,0.089547
0.866016,0.080309
0.870190,0.073860
0.873003,0.069543
0.875252,0.066066
0.876840,0.063655
0.877893,0.062667
0.878285,0.062139
0.878582,0.061568
0.878959,0.061053
0.879213,0.060161
0.873684,0.059531
0.863125,0.058470
0.850143,0.057386
0.837714,0.055939
0.826271,0.054850
0.816107,0.054495
0.809003,0.054189
0.804850,0.054243
0.800974,0.053509
0.796432,0.057236
0.679662,0.056500
0.663207,0.069046
0.633536,0.060217
0.612347,0.058764
0.598666,0.057310
0.589930,0.057151
0.583964,0.055885
0.581128,0.054980
0.579521,0.053903
0.577775,0.053073
0.555749,0.053941
0.527107,0.055819
0.505101,0.057807
0.489685,0.058931
0.479294,0.058756
0.471979,0.058446
0.466222,0.058292
0.412851,0.060899
0.276990,0.065449
0.141079,0.067933
0.072211,0.070752
0.041880,0.074404
0.026297,0.076482
0.019052,0.076090
0.015569,0.075400
0.013942,0.075786
-0.016527,0.118243
-0.014957,0.118515
0.005095,0.089588
0.005397,0.086068
0.005914,0.082509
0.006779,0.080359
0.007210,0.078791
0.007642,0.077055
0.008038,0.075038
0.008199,0.073435
0.008370,0.071971
0.008489,0.070568
0.008868,0.069170
0.009229,0.068337
0.009676,0.067597
0.009916,0.066970
0.010435,0.066271
0.011110,0.065814
0.010888,0.065323
0.009204,0.064245
0.007262,0.062390
0.005229,0.060089
0.002719,0.057568
0.000406,0.055168
-0.001716,0.052990
-0.003564,0.051539
-0.004963,0.050267
