x,y
0.617182,0.426787
0.630654,0.427442
0.694819,0.431684
0.773954,0.433048
0.828437,0.432057
0.858871,0.433262
0.874880,0.433048
0.884353,0.432733
0.888777,0.431948
0.890935,0.432016
0.892562,0.432110
0.893779,0.431410
0.894404,0.431026
0.894634,0.430819
0.904237,0.433066
0.917724,0.435998
0.929498,0.438422
0.938531,0.440490
0.945261,0.441287
0.950535,0.442241
0.954157,0.443277
0.956544,0.443921
0.958587,0.444532
0.959583,0.443635
0.960491,0.443209
0.960809,0.443586
0.960717,0.443631
0.960947,0.443117
0.959409,0.443067
0.939810,0.441655
0.886191,0.437093
0.835270,0.432748
0.799920,0.429261
0.778156,0.427715
0.765660,0.426497
0.755250,0.427849
0.704419,0.421052
0.612442,0.414603
0.550594,0.407660
0.517432,0.402006
0.500275,0.399672
0.492126,0.397022
0.486703,0.395328
0.483541,0.395526
0.481215,0.393967
0.471767,0.395606
0.434664,0.401542
0.397406,0.405218
0.372452,0.409448
0.356410,0.412208
0.347564,0.414221
0.341811,0.415103
0.333637,0.414834
0.220612,0.412202
0.151772,0.437203
0.139123,0.446628
0.107883,0.451540
0.092886,0.447504
0.085447,0.445608
0.080957,0.444220
0.078474,0.441908
0.076233,0.440013
0.074752,0.439577
0.073731,0.438876
0.072974,0.438116
0.071975,0.437192
0.071381,0.436202
0.070917,0.435670
0.064289,0.434567
0.054795,0.433171
0.046708,0.431826
0.040687,0.430961
0.036203,0.430461
0.031925,0.429723
0.028599,0.429084
0.026199,0.428077
0.024512,0.427797
0.022750,0.426997
0.022883,0.426602
0.035394,0.426373
0.099000,0.426481
0.178000,0.425109
0.232768,0.422605
0.264636,0.420470
0.282127,0.416816
0.291746,0.413870
0.296390,0.412535
0.299655,0.411288
0.301457,0.409247
0.314197,0.410199
0.335366,0.412254
0.354065,0.415073
0.366798,0.414030
0.375892,0.415388
0.382459,0.416204
0.395461,0.416757
0.443895,0.418423
0.490311,0.420214
0.519282,0.421831
0.537352,0.423831
0.549096,0.423806
0.556066,0.423887
0.583102,0.425466
0.652411,0.420243
0.716399,0.414081
0.752710,0.409061
0.772608,0.408671
0.782723,0.409206
0.789421,0.408756
0.792993,0.407057
0.795424,0.406638
0.797210,0.406678
0.798078,0.406013
0.798140,0.405817
0.807267,0.408707
0.843065,0.417188
0.882850,0.425776
0.909638,0.431106
0.928578,0.435788
0.938904,0.437150
0.946968,0.437013
0.952104,0.436305
0.954907,0.437017
0.957165,0.437543
0.958101,0.436931
0.958563,0.436445
0.958982,0.436320
0.959144,0.436606
0.959597,0.436687
0.960213,0.436282
0.960500,0.436128
0.960613,0.436217
0.959230,0.436337
0.945768,0.437010
0.913967,0.438578
0.881983,0.440193
0.857494,0.441094
0.839767,0.442048
0.816774,0.443320
0.736973,0.447387
0.593808,0.452633
0.488031,0.453644
0.439005,0.453185
0.417038,0.455199
