Pos x,Pos y,Pos z,Rot x,Rot y,Rot z
36.906395,43.574368,323.481537,0.124318,-0.167890,-0.174186
36.614750,43.529095,323.340942,0.123613,-0.167355,-0.173526
36.411564,43.509544,323.185608,0.122673,-0.166742,-0.172222
36.050293,43.736263,323.831879,0.127726,-0.166256,-0.171121
35.779633,43.567631,323.534088,0.129548,-0.164679,-0.170721
35.558399,43.730217,323.834259,0.129801,-0.163448,-0.169330
35.274918,43.652531,323.910339,0.132569,-0.162826,-0.168664
35.111916,43.669548,323.614899,0.127843,-0.161136,-0.167457
34.790745,43.758968,324.166382,0.132012,-0.160402,-0.167954
34.378571,43.412258,323.981445,0.129858,-0.157120,-0.166198
34.102161,43.602448,325.232086,0.131357,-0.153198,-0.165546
33.882248,43.750038,326.349121,0.137344,-0.152927,-0.167428
33.424057,43.442616,325.884277,0.136782,-0.148765,-0.166820
32.881596,43.233978,325.919159,0.141950,-0.148449,-0.166284
32.243557,42.938644,325.311462,0.145377,-0.148447,-0.165955
31.668045,42.971497,325.218140,0.149692,-0.147548,-0.164451
31.056870,42.878395,324.912476,0.150193,-0.145299,-0.161280
30.398430,42.812523,324.816193,0.154090,-0.143856,-0.158152
29.681057,42.874184,324.716339,0.155890,-0.141421,-0.152649
29.027679,43.044937,324.942383,0.159394,-0.141619,-0.150513
28.234558,43.415535,325.109619,0.161245,-0.140807,-0.147318
27.264194,43.466240,324.958801,0.162923,-0.136372,-0.141251
26.256968,43.634750,325.137909,0.161332,-0.133169,-0.134310
25.034485,43.811665,325.126709,0.164449,-0.127901,-0.127732
23.731951,44.312939,325.585358,0.162992,-0.121977,-0.115133
22.419128,44.621357,325.641449,0.154091,-0.114490,-0.105276
20.988205,45.020889,325.748962,0.145862,-0.106204,-0.091126
19.460251,45.236904,325.717682,0.142673,-0.100033,-0.082345
17.818016,45.124989,325.489319,0.144983,-0.093565,-0.075328
16.068998,45.189877,325.116333,0.137853,-0.083638,-0.064441
14.198228,45.372864,324.966980,0.135851,-0.079020,-0.052638
12.272412,45.302605,324.634094,0.137903,-0.071713,-0.044285
10.122268,45.499832,324.709991,0.141821,-0.061310,-0.032683
7.788184,45.695766,324.417358,0.133317,-0.048437,-0.022228
5.274810,45.779472,323.782776,0.110946,-0.030998,-0.009387
2.476185,46.010674,324.276611,0.094756,-0.010574,0.013091
-0.184228,45.893524,324.570251,0.102185,0.005729,0.026161
-3.057608,45.656719,324.457367,0.105276,0.019721,0.046927
-6.173127,45.602577,324.281982,0.105847,0.033972,0.067953
-9.265373,45.395370,323.630371,0.105172,0.040414,0.075360
-12.540761,45.407581,323.822388,0.105886,0.048990,0.088811
-15.509989,45.233810,323.463501,0.108796,0.053425,0.094901
-18.433828,45.081436,323.395691,0.114118,0.058265,0.110551
-21.196472,44.970802,323.602539,0.113835,0.064200,0.122748
-23.592789,45.075039,324.123627,0.122983,0.067443,0.133619
-25.873215,45.235325,324.668030,0.129259,0.072805,0.143012
-27.971180,45.106407,324.731964,0.128902,0.075157,0.149159
-29.947472,45.413620,325.734619,0.133660,0.077942,0.159717
-31.751516,45.014687,325.104675,0.128060,0.082166,0.163985
-33.563751,45.071095,325.337646,0.125579,0.085457,0.171541
-35.253830,45.141136,325.814362,0.124787,0.087832,0.177986
-36.540932,44.741577,325.480957,0.125437,0.091613,0.184006
-38.101402,45.182487,327.284729,0.125724,0.095580,0.191630
-39.260643,44.892067,327.635620,0.128954,0.098191,0.198251
-40.309780,44.889744,327.566162,0.132090,0.098358,0.205451
-41.011002,44.551926,326.799011,0.131359,0.096864,0.205931
-41.874622,44.945389,327.217346,0.134131,0.095957,0.211134
-42.361702,44.711395,326.627045,0.132014,0.093221,0.210135
-43.127689,45.201832,327.575958,0.135923,0.093119,0.213968
-43.633667,44.987686,327.287994,0.132105,0.093458,0.212852
-44.051487,44.877548,326.976318,0.131785,0.091990,0.212964
-44.538677,45.012711,327.668213,0.132750,0.093552,0.215759
-44.922161,45.077000,327.899872,0.131206,0.093418,0.215899
-45.147827,45.015793,327.820404,0.127908,0.092043,0.215416
-45.358463,45.199066,328.414124,0.129302,0.093016,0.217306
-45.371422,44.480415,328.091309,0.128180,0.097103,0.219330
-45.495766,44.372826,328.637634,0.127204,0.100446,0.219717
-45.704933,44.353481,329.145203,0.128449,0.101788,0.220782
-45.771645,44.145897,329.364502,0.134806,0.103582,0.220920
-45.928772,44.403465,329.487549,0.132662,0.102958,0.219843
-45.982899,44.398243,329.647247,0.137825,0.104240,0.219953
-46.032791,44.604359,329.522308,0.135394,0.102826,0.219263
-45.956676,44.420525,329.118713,0.136044,0.102395,0.218203
-45.930279,44.600769,329.100128,0.133694,0.101297,0.217629
-45.812592,44.326256,328.558533,0.130528,0.100270,0.216470
-45.790462,44.123234,328.182770,0.125765,0.099633,0.215731
-45.821026,43.954105,327.876129,0.122353,0.098091,0.215152
-45.939545,43.893089,327.855042,0.119025,0.096688,0.214828
-46.081551,43.861324,327.928986,0.117821,0.095322,0.213872
-46.146515,43.843536,327.746307,0.115997,0.092060,0.213806
-46.124374,43.694527,327.331177,0.114337,0.090528,0.213312
-46.155910,43.724533,327.241089,0.113218,0.088986,0.213065
-46.167374,43.600723,326.951508,0.113323,0.087213,0.212883
-46.174290,43.623627,326.941803,0.112191,0.087146,0.211802
-46.198002,43.655533,326.952881,0.110851,0.086288,0.210494
-46.211319,43.528625,326.661957,0.108638,0.086818,0.210340
-46.347401,43.646400,326.951508,0.106626,0.087727,0.209351
-46.331093,43.698082,326.982300,0.105764,0.087870,0.208610
-46.327099,43.657196,326.855438,0.103889,0.088244,0.208319
-46.349678,43.708992,326.894806,0.102933,0.087999,0.207576
-46.387272,43.656536,326.801758,0.101907,0.088218,0.207306
-46.480854,43.760834,326.762268,0.097000,0.088658,0.206989
-46.562538,43.861774,326.832001,0.092635,0.089268,0.206367
-46.594227,43.871223,326.718689,0.089426,0.089349,0.205906
-46.593170,43.867256,326.621643,0.086480,0.089642,0.205331
-46.513405,43.903957,326.619995,0.086927,0.089531,0.204184
-46.449692,43.919121,326.595093,0.086447,0.089978,0.202657
-46.360138,44.022095,326.759766,0.086755,0.090578,0.200679
-46.392159,43.771912,326.495117,0.091554,0.091522,0.201711
-46.278843,43.788971,326.496246,0.090686,0.092096,0.199004
-46.236031,43.859303,326.534851,0.090061,0.091852,0.196597
-46.139843,43.814308,326.389771,0.089426,0.092072,0.194617
-46.191921,43.764542,326.383667,0.091652,0.093009,0.195318
-46.056728,43.833805,326.334930,0.091752,0.092839,0.193516
-45.923004,43.768959,325.976807,0.089882,0.092449,0.192559
-46.052532,43.756031,326.078766,0.091625,0.092471,0.193458
-46.001751,43.614033,326.218475,0.096708,0.093341,0.193547
-45.980751,43.283260,326.203308,0.103581,0.095041,0.195827
-46.100479,43.110481,326.896606,0.104711,0.097557,0.197042
-46.091640,42.730858,327.014282,0.113407,0.098389,0.199763
-46.110481,42.716827,327.296021,0.111368,0.099452,0.198507
-46.036392,42.569084,327.080017,0.112359,0.099876,0.199295
-46.023190,42.627537,326.978973,0.110334,0.098764,0.197676
-46.029472,42.775574,327.044922,0.108770,0.098950,0.196936
-45.947247,42.791100,326.807983,0.108110,0.097903,0.196597
-45.930496,42.867672,326.698975,0.105597,0.095435,0.195228
-45.832565,42.974144,326.722412,0.106706,0.095154,0.194286
-45.722221,43.062042,326.818115,0.107576,0.095085,0.194214
-45.594048,43.096436,326.632019,0.106346,0.094340,0.193572
-45.432816,43.154877,326.308716,0.106211,0.091782,0.192830
-45.228363,43.282848,326.173157,0.106169,0.089325,0.189668
-45.013561,43.264122,325.773682,0.105750,0.085850,0.187112
-44.888805,43.344395,325.836578,0.106430,0.085387,0.185787
-44.658329,43.300591,325.542114,0.108350,0.084139,0.184175
-44.457458,43.349056,325.456635,0.112421,0.083765,0.182432
-44.177704,43.374634,325.156616,0.115950,0.081665,0.180047
-43.865902,43.513161,325.013336,0.120410,0.079490,0.177794
-43.425583,43.526840,324.613831,0.120181,0.075711,0.173230
-42.944462,43.511047,324.244629,0.119727,0.073032,0.168327
-42.422001,43.528664,323.857269,0.120909,0.067776,0.160353
-41.872330,43.560593,323.406342,0.117171,0.062472,0.152202
-41.256485,43.639225,323.088409,0.117049,0.058739,0.146918
-40.516750,43.615913,322.453796,0.110245,0.052378,0.137524
-39.808273,43.977524,322.787567,0.117872,0.049772,0.132149
-38.789112,43.686226,321.587982,0.118183,0.040674,0.125527
-37.882172,43.941143,321.598877,0.123926,0.035684,0.119906
-36.915298,43.876175,321.648987,0.137638,0.037127,0.116200
-35.844856,43.773663,321.538879,0.143749,0.033853,0.106048
-34.764160,43.774086,321.217957,0.135081,0.033588,0.094441
-33.436214,43.474869,320.265839,0.135192,0.029996,0.082669
-32.082443,43.035500,319.268799,0.137064,0.028309,0.070662
-30.648682,42.702785,318.017059,0.134296,0.021001,0.058307
-29.207788,42.327656,316.667786,0.119709,0.015344,0.043531
-27.627829,41.882599,315.352478,0.114711,0.009801,0.031884
-25.928371,41.343769,313.814850,0.110767,0.003731,0.022889
-24.317457,40.730824,312.226501,0.102051,0.001858,0.018387
-22.602804,40.194061,310.663910,0.091995,-0.003784,0.006248
-21.103739,39.519398,309.065582,0.079697,-0.006238,0.004265
-19.531307,38.886185,307.531372,0.059542,-0.013486,-0.008392
-18.097725,38.310524,306.154449,0.050205,-0.015745,-0.012921
-16.703869,37.580124,304.322876,0.036097,-0.019690,-0.020834
-15.457545,36.844429,302.370422,0.028035,-0.021968,-0.023705
-14.315133,36.263069,300.707550,0.026854,-0.024514,-0.026849
-13.388401,35.797554,299.175415,0.018598,-0.024321,-0.027912
-12.519430,35.689552,298.413818,0.018831,-0.026917,-0.028435
-11.717184,35.416664,296.911896,0.010510,-0.026281,-0.031397
-11.178339,35.319954,296.147034,0.016315,-0.031611,-0.029386
-10.634907,35.193668,295.154480,0.017345,-0.031218,-0.032317
-10.314004,35.215462,294.666138,0.020210,-0.031249,-0.031431
-10.067563,35.081955,293.985229,0.026010,-0.031382,-0.030299
-9.979282,34.901093,293.111633,0.018160,-0.028207,-0.029336
-9.847661,34.711399,292.177368,0.013027,-0.026293,-0.029364
-9.747823,34.666317,291.577545,0.017795,-0.027240,-0.026282
-9.681089,34.685116,290.675262,0.018502,-0.026702,-0.027177
-9.577732,34.591774,289.732819,0.017763,-0.028139,-0.026902
